Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
305	900	1387	1	04/04/24 02:20:47 PM	
306	900	1378	1	04/04/24 02:20:48 PM	
307	900	1388	1	04/04/24 02:20:49 PM	
308	900	1373	1	04/04/24 02:20:50 PM	
309	900	1393	1	04/04/24 02:20:51 PM	
310	900	1380	1	04/04/24 02:20:52 PM	
311	900	1382	1	04/04/24 02:20:53 PM	
312	900	1371	1	04/04/24 02:20:55 PM	
313	900	1397	1	04/04/24 02:20:56 PM	
314	900	1400	1	04/04/24 02:20:57 PM	
315	900	1430	1	04/04/24 02:20:58 PM	
316	900	1353	1	04/04/24 02:20:59 PM	
317	900	1406	1	04/04/24 02:21:00 PM	
318	900	1396	1	04/04/24 02:21:01 PM	
319	900	1377	1	04/04/24 02:21:03 PM	
320	900	1379	1	04/04/24 02:21:04 PM	
321	900	1363	1	04/04/24 02:21:05 PM	
322	900	1397	1	04/04/24 02:21:06 PM	
323	900	1390	1	04/04/24 02:21:07 PM	
324	900	1361	1	04/04/24 02:21:08 PM	
325	900	1386	1	04/04/24 02:21:09 PM	
326	900	1352	1	04/04/24 02:21:11 PM	
327	900	1384	1	04/04/24 02:21:12 PM	
328	900	1391	1	04/04/24 02:21:13 PM	
329	900	1432	1	04/04/24 02:21:14 PM	
330	900	1356	1	04/04/24 02:21:15 PM	
331	900	1410	1	04/04/24 02:21:16 PM	
332	900	1366	1	04/04/24 02:21:18 PM	
333	900	1354	1	04/04/24 02:21:19 PM	
334	900	1388	1	04/04/24 02:21:20 PM	
335	900	1405	1	04/04/24 02:21:21 PM	
336	900	1399	1	04/04/24 02:21:22 PM	
337	900	1319	1	04/04/24 02:21:23 PM	
338	900	1411	1	04/04/24 02:21:24 PM	
339	900	1398	1	04/04/24 02:21:26 PM	
340	900	1353	1	04/04/24 02:21:27 PM	
341	900	1403	1	04/04/24 02:21:28 PM	
342	900	1401	1	04/04/24 02:21:29 PM	
343	900	1397	1	04/04/24 02:21:30 PM	
344	900	1377	1	04/04/24 02:21:31 PM	
345	900	1385	1	04/04/24 02:21:32 PM	
346	900	1366	1	04/04/24 02:21:34 PM	
347	900	1390	1	04/04/24 02:21:35 PM	
348	900	1384	1	04/04/24 02:21:36 PM	
349	900	1381	1	04/04/24 02:21:37 PM	
350	900	1345	1	04/04/24 02:21:38 PM	
351	900	1366	1	04/04/24 02:21:39 PM	
352	900	1351	1	04/04/24 02:21:40 PM	
353	900	1388	1	04/04/24 02:21:42 PM	
354	900	1377	1	04/04/24 02:21:43 PM	
355	900	1360	1	04/04/24 02:21:44 PM	
356	900	1392	1	04/04/24 02:21:45 PM	
357	900	1384	1	04/04/24 02:21:46 PM	
358	900	1400	1	04/04/24 02:21:47 PM	
359	900	1394	1	04/04/24 02:21:48 PM	
360	900	1397	1	04/04/24 02:21:50 PM	
361	900	1374	1	04/04/24 02:21:51 PM	
362	900	1394	1	04/04/24 02:21:52 PM	
363	900	1389	1	04/04/24 02:21:53 PM	
364	900	1397	1	04/04/24 02:21:54 PM	
365	900	1398	1	04/04/24 02:21:55 PM	
366	900	1410	1	04/04/24 02:21:56 PM	
367	900	1424	1	04/04/24 02:21:58 PM	
368	900	1373	1	04/04/24 02:21:59 PM	
369	900	1398	1	04/04/24 02:22:00 PM	
370	900	1405	1	04/04/24 02:22:01 PM	
371	900	1379	1	04/04/24 02:22:02 PM	
372	900	1375	1	04/04/24 02:22:03 PM	
373	900	1355	1	04/04/24 02:22:04 PM	
374	900	1397	1	04/04/24 02:22:06 PM	
375	900	1384	1	04/04/24 02:22:07 PM	
376	900	1379	1	04/04/24 02:22:08 PM	
